id,name,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,city
33029812,"Adderley City Loft Apartment - balcony, pool & BBQ",242632519,-33.92451,18.42214,Entire home/apt,1706,3,2,0.07,4,Cape Town
33034887,Lagoon Beach Panoramic Sea Views & Balcony,242636310,-33.89149,18.48482,Entire home/apt,1720,3,0,,4,Cape Town
33039883,"Green Point Apartment with Hot Tub, Parking & WiFi",231225516,-33.90783,18.4067,Entire home/apt,1260,2,7,0.28,7,Cape Town
33049354,"Close to Beach, Cape Town, West Cost",97990334,-34.10164,18.83649,Entire home/apt,2500,15,0,,2,Cape Town
33058383,Private studio in Constantia's tranquil suburbs.,7410980,-34.04665,18.43447,Entire home/apt,500,2,5,0.16,1,Cape Town
33059063,Camps Bay - Oceana Escape,113777427,-33.95997,18.38176,Entire home/apt,938,2,53,2.13,3,Cape Town
33059562,Die Waenhuis - perfect located self-catering unit,224759233,-34.0459,18.82164,Entire home/apt,500,2,0,,2,Cape Town
33063234,Aloha Kommetjie,114610056,-34.14005,18.33101,Entire home/apt,1500,3,9,0.4,3,Cape Town
33063995,6 Bedroom Home in Kuils River,92157881,-33.94568,18.67265,Entire home/apt,800,1,2,0.09,5,Cape Town
33084124,Amazing location on Church and Bree Street,167891665,-33.92106,18.41833,Entire home/apt,750,2,14,0.46,6,Cape Town
33085740,Fig Tree Blue,24112336,-34.10341,18.467,Private room,600,1,5,0.61,9,Cape Town
33085788,Dotted Blue,24112336,-34.10258,18.46595,Private room,1226,1,0,,9,Cape Town
33087219,Surfers Studio - Empire Apartments,217413211,-34.10813,18.46973,Entire home/apt,1466,1,5,0.17,26,Cape Town
33087587,"Artist Loft , in Cape Town",26401617,-33.93326,18.45734,Entire home/apt,1550,14,12,0.58,1,Cape Town
33092709,Green Point one bedroom with stunning views,28541795,-33.91087,18.40445,Entire home/apt,800,4,13,0.56,3,Cape Town
33093466,House for holiday/Guest House,249068941,-33.88617,18.52442,Private room,500,5,0,,1,Cape Town
33094450,Albion Mill Apartment,219034517,-33.97074,18.46458,Entire home/apt,1200,2,7,0.23,3,Cape Town
33103985,Modern home with breathtaking ocean views,249168986,-34.1614,18.42888,Entire home/apt,2321,3,99,3.68,1,Cape Town
33105931,Rockridge Marina Lookout,217434639,-34.14338,18.43432,Entire home/apt,850,2,22,0.96,1,Cape Town
33109278,TwinnPalms Accommodation,249213028,-33.89366,18.49161,Private room,4000,1,4,0.14,6,Cape Town
33121726,Centrally located Guest suite in Bishopscourt,63926722,-33.98598,18.44637,Entire home/apt,391,2,24,1.99,3,Cape Town
33122930,28 on Arlington,249338818,-34.05077,18.83198,Entire home/apt,650,2,21,0.66,1,Cape Town
33123575,Welcome to my quiet sanctuary.,56732887,-33.82211,18.51235,Private room,250,3,1,0.03,1,Cape Town
33128636,Oregon Apartment Cape Town,167985532,-33.88007,18.53548,Entire home/apt,750,2,23,0.73,1,Cape Town
33144896,Lighthouse Lookout -  Family beach getaway,49862721,-34.20028,18.44606,Entire home/apt,1900,2,3,0.13,3,Cape Town
33149540,The Protea Suite,244852495,-34.07405,18.83841,Entire home/apt,800,2,2,2.0,2,Cape Town
33154450,Studio on Beach rd with Sea Views,3886732,-33.92106,18.38135,Entire home/apt,1036,2,23,0.73,74,Cape Town
33172145,"Family vacation-beautiful Cape Town, South Africa.",249691210,-33.88394,18.69223,Entire home/apt,1900,3,0,,1,Cape Town
33174663,208 De Waterkant Piazza,4402197,-33.91355,18.41465,Entire home/apt,1657,1,1,0.23,5,Cape Town
33174667,213 De Waterkant Piazza,4402197,-33.91422,18.41594,Entire home/apt,1657,1,0,,5,Cape Town
33174758,Self-Catering Studio Apartment 1,4402197,-33.91203,18.39873,Entire home/apt,986,1,1,0.1,5,Cape Town
33174759,Self-Catering Studio Apartment 2,4402197,-33.91162,18.39867,Entire home/apt,971,1,0,,5,Cape Town
33177829,Island Letting/ Cape Grandeur,248989882,-33.88279,18.59097,Private room,900,1,2,0.15,12,Cape Town
33180517,1 bedroom & pool in a Guest House,70755984,-34.06543,18.4362,Private room,600,1,31,1.0,4,Cape Town
33182470,Waters Edge Superior 2-Bedroom Apartment (5-4),12545676,-33.89118,18.51512,Entire home/apt,1586,2,5,0.16,8,Cape Town
33186147,Silverbirch 2 Selfcatering guesthouse,111869337,-33.88112,18.58474,Private room,580,2,1,0.08,6,Cape Town
33187003,"Upmarket, modern 2 bedroom apartment in Cape Town",175520310,-33.93918,18.51566,Entire home/apt,889,1,28,1.37,1,Cape Town
33188952,Avoville,249880463,-33.9346,18.45831,Entire home/apt,1150,2,0,,1,Cape Town
33205481,"Marvellous Hout Bay home,  perfect family getaway",6578055,-34.02238,18.37571,Entire home/apt,3770,3,2,2.0,1,Cape Town
33206622,@Abelia Guest House - Room With A View,226356055,-34.05967,18.82419,Private room,990,1,0,,3,Cape Town
33206626,@Abelia Guest House - The Boat Suite,226356055,-34.05943,18.82367,Private room,990,1,0,,3,Cape Town
33206628,@Abelia Guest House - Corporate Suite,226356055,-34.05855,18.8243,Private room,700,1,2,0.07,3,Cape Town
33208035,Bantry Bay Views,244064506,-33.92564,18.37872,Entire home/apt,2559,2,18,0.63,2,Cape Town
33213426,16th Floor Apartment with City Views in Disa Park,200091605,-33.94282,18.42412,Entire home/apt,800,2,13,0.43,3,Cape Town
33220101,Three Spruce,250119935,-33.81427,18.66304,Entire home/apt,1500,2,1,0.04,2,Cape Town
33224971,BIG BAY - Spacious 2 bed condo just off the beach,44642787,-33.79229,18.45953,Entire home/apt,580,20,1,0.08,1,Cape Town
33232536,Bantry Bay:  Amazing Seaview and Balcony  - Room 1,15784419,-33.92934,18.38159,Private room,980,2,1,0.03,4,Cape Town
33236685,Bantry Bay:  Amazing Seaview and Balcony - Room 2,15784419,-33.92773,18.38137,Private room,950,2,2,0.07,4,Cape Town
33237919,Louise overnight accommodation800m to Strand Beach,250224854,-34.10141,18.82318,Private room,550,2,0,,1,Cape Town
33255831,Brand New Penthouse with Waterfront Views,13407637,-33.92538,18.44574,Entire home/apt,1899,3,21,0.68,6,Cape Town
33257088,Wonderful and Relaxing Studio | 506 Granger,27980864,-33.90093,18.41272,Entire home/apt,1770,2,1,0.08,41,Cape Town
33260791,Spacious Stylish Studio Biscuit Mill+ Mountain vws,257734440,-33.92714,18.45385,Entire home/apt,629,2,31,1.5,101,Cape Town
33261143,The Magnolia Room in a leafy Avenue of  Newlands,219034517,-33.96939,18.46063,Private room,500,1,5,0.17,3,Cape Town
33262009,"#Shiloh (place of peace ) 
book now",44638237,-33.9409,18.4693,Shared room,200,1,10,0.32,3,Cape Town
33262817,Modern & Convenient. Top Floor Mountain Views.,250012331,-33.92633,18.44598,Entire home/apt,739,2,99,3.74,1,Cape Town
33265562,Dreams Lodge,250490515,-33.89851,18.63096,Private room,400,1,2,0.08,2,Cape Town
33266743,Eden on the Bay Luxurious Beachfront Apartment,63058754,-33.7926,18.45827,Entire home/apt,1286,2,34,1.28,1,Cape Town
33267408,Constitution on a curve,81510026,-33.79744,18.4982,Private room,1000,1,0,,2,Cape Town
33268595,Constitution on a curve 2,81510026,-33.83569,18.50106,Private room,1200,1,0,,2,Cape Town
33271407,Deluxe Double Bedroom with Bath - Three Spruce,250119935,-33.81427,18.66304,Private room,1000,2,0,,2,Cape Town
33281207,Tranquillity in a scenic secure estate near beach,120161369,-34.1396,18.35708,Private room,700,1,4,0.18,1,Cape Town
33282520,Rizik Lodge Flat 1,235681178,-33.97013,18.54387,Entire home/apt,750,2,0,,1,Cape Town
33282978,Industrial Chic at WEX Woodstock Cool Urban vibe,257734440,-33.92684,18.44552,Entire home/apt,670,20,25,1.01,101,Cape Town
33283770,Charming Quince Cottage with stunning sea views,250645588,-34.09986,18.38738,Entire home/apt,850,2,18,0.83,1,Cape Town
33289634,Apartment with private garden in Central Cape Town,25532983,-33.92826,18.40784,Entire home/apt,1771,5,3,0.12,5,Cape Town
33295346,African holiday home in Table View,28973736,-33.82707,18.49364,Entire home/apt,960,6,16,0.53,1,Cape Town
33307132,Mouille Point Penthouse with Spectacular Views,242632519,-33.90518,18.39872,Entire home/apt,3959,3,8,0.26,4,Cape Town
